Signal,Entry,StopLoss,Target,Exit,Result,PnL
BUY CALL,24204.95,24152.05,24310.74,24204.95,OPEN,0.0
BUY CALL,24187.65,24135.44,24292.07,24187.65,OPEN,0.0
BUY CALL,24204.65,24151.22,24311.51,24204.65,OPEN,0.0
BUY CALL,24220.6,24165.97,24329.86,24220.6,OPEN,0.0
BUY CALL,24221.3,24169.35,24325.2,24221.3,OPEN,0.0
BUY CALL,24220.05,24169.08,24321.99,24220.05,OPEN,0.0
BUY CALL,24228.9,24178.59,24329.53,24228.9,OPEN,0.0
BUY CALL,24225.3,24196.52,24282.86,24225.3,OPEN,0.0
BUY CALL,24234.2,24207.0,24288.6,24234.2,OPEN,0.0
BUY CALL,24231.15,24205.7,24282.05,24231.15,OPEN,0.0
BUY CALL,24233.8,24209.39,24282.63,24233.8,OPEN,0.0
BUY CALL,24232.55,24210.99,24275.68,24232.55,OPEN,0.0
BUY CALL,24238.65,24218.27,24279.41,24238.65,OPEN,0.0
BUY CALL,24233.7,24214.21,24272.68,24233.7,OPEN,0.0
