Signal,Entry,StopLoss,Target,Exit,Result,PnL
BUY CALL,24024.95,24000.44,24073.97,24000.44,LOSS,-24.51
BUY CALL,24014.65,23991.56,24060.83,24026.5,EOD EXIT,11.85
BUY CALL,24030.75,24009.83,24072.59,24009.83,LOSS,-20.92
BUY CALL,24187.1,24137.09,24287.12,24220.599609375,EOD EXIT,33.5
BUY CALL,24177.35,24125.48,24281.09,24221.30078125,EOD EXIT,43.95
BUY CALL,24178.5,24125.89,24283.71,24220.05078125,EOD EXIT,41.55
BUY CALL,24187.95,24135.74,24292.37,24228.900390625,EOD EXIT,40.95
BUY CALL,24208.3,24155.26,24314.38,24225.30078125,EOD EXIT,17.0
BUY CALL,24212.2,24159.51,24317.57,24234.19921875,EOD EXIT,22.0
BUY CALL,24218.0,24166.23,24321.53,24231.150390625,EOD EXIT,13.15
BUY CALL,24204.95,24152.05,24310.74,24233.80078125,EOD EXIT,28.85
BUY CALL,24187.65,24135.44,24292.07,24219.94921875,EOD EXIT,32.3
BUY CALL,24204.65,24151.22,24311.51,24217.80078125,EOD EXIT,13.15
BUY CALL,24220.6,24165.97,24329.86,24220.80078125,EOD EXIT,0.2
BUY CALL,24221.3,24169.35,24325.2,24232.55078125,EOD EXIT,11.25
BUY CALL,24220.05,24169.08,24321.99,24238.650390625,EOD EXIT,18.6
BUY CALL,24228.9,24178.59,24329.53,24233.69921875,EOD EXIT,4.8
BUY CALL,24225.3,24196.52,24282.86,24231.099609375,EOD EXIT,5.8
BUY CALL,24234.2,24207.0,24288.6,24236.599609375,EOD EXIT,2.4
BUY CALL,24231.15,24205.7,24282.05,24232.55078125,EOD EXIT,1.4
BUY CALL,24233.8,24209.39,24282.63,24229.30078125,EOD EXIT,-4.5
BUY CALL,24232.55,24210.99,24275.68,24228.94921875,EOD EXIT,-3.6
BUY CALL,24238.65,24218.27,24279.41,24225.650390625,EOD EXIT,-13.0
BUY CALL,24233.7,24214.21,24272.68,24230.19921875,EOD EXIT,-3.5
BUY CALL,24244.7,24226.12,24281.86,24226.12,LOSS,-18.58
BUY CALL,24252.25,24233.08,24290.6,24250.5,EOD EXIT,-1.75
BUY CALL,24257.55,24238.39,24295.88,24238.39,LOSS,-19.16
BUY CALL,24255.0,24236.74,24291.52,24236.74,LOSS,-18.26
BUY CALL,24245.15,24226.5,24282.46,24272.650390625,EOD EXIT,27.5
BUY CALL,24258.25,24237.74,24299.27,24259.599609375,EOD EXIT,1.35
BUY CALL,24250.5,24230.53,24290.43,24267.19921875,EOD EXIT,16.7
BUY CALL,24267.1,24246.9,24307.5,24273.30078125,EOD EXIT,6.2
BUY CALL,24263.85,24243.2,24305.15,24272.5,EOD EXIT,8.65
BUY CALL,24263.8,24243.33,24304.75,24262.5,EOD EXIT,-1.3
BUY CALL,24274.1,24254.16,24313.99,24254.16,LOSS,-19.94
BUY CALL,24270.15,24249.65,24311.14,24249.65,LOSS,-20.5
BUY CALL,24267.2,24245.7,24310.21,24245.7,LOSS,-21.5
BUY CALL,24273.3,24252.22,24315.46,24252.22,LOSS,-21.08
BUY CALL,24272.5,24252.52,24312.45,24252.52,LOSS,-19.98
BUY CALL,24267.1,24243.1,24315.09,24262.75,EOD EXIT,-4.35
BUY CALL,24274.6,24251.06,24321.68,24251.06,LOSS,-23.54
BUY CALL,24277.15,24254.09,24323.27,24254.09,LOSS,-23.06
BUY CALL,24270.9,24248.98,24314.73,24262.75,EOD EXIT,-8.15
BUY CALL,24265.5,24243.97,24308.55,24262.75,EOD EXIT,-2.75
